
 ****** Running generation 0 ****** 

Population's average fitness: 21.84875 stdev: 3.60914
Best fitness: 34.00000 - size: (6, 26) - species 12 - id 125
Average adjusted fitness: 0.535
Mean genetic distance 3.156, standard deviation 0.234
Population of 799 members in 125 species:
   ID   age  size  fitness  adj fit  stag
    10    2     5     26.0    0.386     2
    11    2     7     27.0    0.492     2
    12    2     7     30.0    0.644     2
    13    2     5     27.0    0.420     1
    14    2    11     34.0    0.509     0
    15    2    10     29.0    0.394     2
    16    2     7     26.0    0.382     2
    17    2     8     27.0    0.418     0
    18    2     5     25.0    0.576     1
    19    2     6     29.0    0.591     0
    20    2     8     28.0    0.426     0
    21    2     7     29.0    0.500     1
    22    2    10     27.0    0.458     0
    23    2     6     28.0    0.396     0
    24    2     3     21.0    0.318     1
    25    2     4     20.0    0.348     0
    26    2     7     32.0    0.534     0
    27    2    12     29.0    0.468     1
    28    2     6     26.0    0.491     0
    29    2     8     27.0    0.432     1
    30    2     6     24.0    0.523     1
    31    2     6     24.0    0.473     1
    32    2     7     31.0    0.561     0
    33    2     9     25.0    0.380     1
    34    2     4     27.0    0.382     1
    35    2     5     26.0    0.427     0
    36    2     6     28.0    0.573     0
    37    2     4     23.0    0.500     1
    38    2     5     27.0    0.447     1
    39    2     4     25.0    0.394     1
    40    2     4     22.0    0.348     1
    41    2     6     27.0    0.442     1
    42    2     5     27.0    0.455     0
    43    2     6     26.0    0.518     0
    44    2     3     21.0    0.318     1
    45    2     5     27.0    0.523     1
    46    2     5     34.0    0.515     0
    47    2     6     28.0    0.500     0
    48    2     7     23.0    0.318     1
    49    2     9     29.0    0.428     1
    50    2     6     29.0    0.555     0
    51    2     6     25.0    0.422     1
    52    2     4     23.0    0.379     1
    53    2     5     28.0    0.727     0
    54    2     1     31.0    0.500     0
    55    2     6     24.0    0.386     1
    56    2     6     25.0    0.390     1
    57    2     4     23.0    0.455     1
    58    2     7     27.0    0.568     0
    59    2     2     26.0    0.477     1
    60    2     8     26.0    0.482     0
    61    2     7     28.0    0.470     1
    62    2     7     31.0    0.598     0
    63    2     6     25.0    0.445     1
    64    2     4     23.0    0.318     1
    65    2     6     30.0    0.536     0
    66    2     7     28.0    0.494     1
    67    2     6     29.0    0.473     0
    68    2     7     26.0    0.409     1
    69    2     7     27.0    0.500     1
    70    2     4     21.0    0.242     1
    71    2     4     27.0    0.506     1
    72    2     5     25.0    0.364     1
    73    2     4     24.0    0.432     1
