Iteration: 209 of 36000, ANNs: 12, Score, mean: 2.67, max: 6.00 - took 0.09s
Iteration: 211 of 36000, ANNs: 12, Score, mean: 1.67, max: 4.00 - took 0.10s
Iteration: 212 of 36000, ANNs: 12, Score, mean: 2.67, max: 10.00 - took 0.09s
Iteration: 213 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.10s
Iteration: 214 of 36000, ANNs: 12, Score, mean: 3.50, max: 8.00 - took 0.09s
Iteration: 215 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 216 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.09s
Iteration: 217 of 36000, ANNs: 12, Score, mean: 3.17, max: 8.00 - took 0.09s
Iteration: 218 of 36000, ANNs: 12, Score, mean: 1.67, max: 8.00 - took 0.09s
Iteration: 219 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.09s
Iteration: 221 of 36000, ANNs: 12, Score, mean: 2.00, max: 6.00 - took 0.09s
Iteration: 222 of 36000, ANNs: 12, Score, mean: 1.17, max: 10.00 - took 0.09s
Iteration: 223 of 36000, ANNs: 12, Score, mean: 4.00, max: 8.00 - took 0.09s
Iteration: 224 of 36000, ANNs: 12, Score, mean: 2.67, max: 8.00 - took 0.09s
Iteration: 225 of 36000, ANNs: 12, Score, mean: 2.50, max: 6.00 - took 0.09s
Iteration: 226 of 36000, ANNs: 12, Score, mean: 2.50, max: 10.00 - took 0.09s
Iteration: 227 of 36000, ANNs: 12, Score, mean: 1.00, max: 6.00 - took 0.09s
Iteration: 228 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 229 of 36000, ANNs: 12, Score, mean: 3.50, max: 8.00 - took 0.09s
Iteration: 231 of 36000, ANNs: 12, Score, mean: 1.17, max: 8.00 - took 0.09s
Iteration: 232 of 36000, ANNs: 12, Score, mean: 2.33, max: 6.00 - took 0.08s
Iteration: 233 of 36000, ANNs: 12, Score, mean: 2.67, max: 10.00 - took 0.09s
Iteration: 234 of 36000, ANNs: 12, Score, mean: 1.50, max: 10.00 - took 0.09s
Iteration: 235 of 36000, ANNs: 12, Score, mean: 2.00, max: 10.00 - took 0.09s
Iteration: 236 of 36000, ANNs: 12, Score, mean: 0.83, max: 4.00 - took 0.09s
Iteration: 237 of 36000, ANNs: 12, Score, mean: 1.50, max: 6.00 - took 0.09s
Iteration: 238 of 36000, ANNs: 12, Score, mean: 0.50, max: 6.00 - took 0.09s
Iteration: 239 of 36000, ANNs: 12, Score, mean: 1.67, max: 10.00 - took 0.09s
Iteration: 241 of 36000, ANNs: 12, Score, mean: 3.33, max: 10.00 - took 0.09s
Iteration: 242 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 243 of 36000, ANNs: 12, Score, mean: 1.00, max: 6.00 - took 0.09s
Iteration: 244 of 36000, ANNs: 12, Score, mean: 3.17, max: 8.00 - took 0.09s
Iteration: 245 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 246 of 36000, ANNs: 12, Score, mean: 0.67, max: 6.00 - took 0.09s
Iteration: 247 of 36000, ANNs: 12, Score, mean: 2.67, max: 6.00 - took 0.09s
Iteration: 248 of 36000, ANNs: 12, Score, mean: 1.33, max: 10.00 - took 0.09s
Iteration: 249 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.08s
Iteration: 251 of 36000, ANNs: 12, Score, mean: 0.33, max: 4.00 - took 0.09s
Iteration: 252 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 253 of 36000, ANNs: 12, Score, mean: 1.83, max: 10.00 - took 0.08s
Iteration: 254 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.08s
Iteration: 255 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.08s
Iteration: 256 of 36000, ANNs: 12, Score, mean: 0.67, max: 6.00 - took 0.09s
Iteration: 257 of 36000, ANNs: 12, Score, mean: 1.00, max: 10.00 - took 0.09s
Iteration: 258 of 36000, ANNs: 12, Score, mean: 1.67, max: 6.00 - took 0.09s
Iteration: 259 of 36000, ANNs: 12, Score, mean: 1.33, max: 8.00 - took 0.09s
Iteration: 261 of 36000, ANNs: 12, Score, mean: 1.00, max: 10.00 - took 0.09s
Iteration: 262 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 263 of 36000, ANNs: 12, Score, mean: 3.17, max: 6.00 - took 0.09s
Iteration: 264 of 36000, ANNs: 12, Score, mean: 1.83, max: 8.00 - took 0.08s
Iteration: 265 of 36000, ANNs: 12, Score, mean: 1.17, max: 8.00 - took 0.09s
Iteration: 266 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 267 of 36000, ANNs: 12, Score, mean: 1.50, max: 4.00 - took 0.09s
Iteration: 268 of 36000, ANNs: 12, Score, mean: 0.83, max: 6.00 - took 0.09s
Iteration: 269 of 36000, ANNs: 12, Score, mean: 2.17, max: 8.00 - took 0.09s
Iteration: 271 of 36000, ANNs: 12, Score, mean: 2.17, max: 6.00 - took 0.09s
Iteration: 272 of 36000, ANNs: 12, Score, mean: 0.83, max: 8.00 - took 0.09s
Iteration: 273 of 36000, ANNs: 12, Score, mean: 0.17, max: 8.00 - took 0.09s
Iteration: 274 of 36000, ANNs: 12, Score, mean: 2.50, max: 8.00 - took 0.09s
Iteration: 275 of 36000, ANNs: 12, Score, mean: 2.00, max: 8.00 - took 0.09s
Iteration: 276 of 36000, ANNs: 12, Score, mean: 1.50, max: 8.00 - took 0.09s
Iteration: 277 of 36000, ANNs: 12, Score, mean: 1.17, max: 6.00 - took 0.09s
Iteration: 278 of 36000, ANNs: 12, Score, mean: 0.00, max: 4.00 - took 0.09s
Iteration: 279 of 36000, ANNs: 12, Score, mean: 2.50, max: 10.00 - took 0.09s
Iteration: 281 of 36000, ANNs: 12, Score, mean: 3.17, max: 10.00 - took 0.08s
Iteration: 282 of 36000, ANNs: 12, Score, mean: 2.17, max: 6.00 - took 0.08s
Iteration: 283 of 36000, ANNs: 12, Score, mean: 2.83, max: 8.00 - took 0.08s
